Title,Original,Generated
Phantom of the Rue Morgue,"Mad passions, madder deeds in the Edgar Allan Poe chiller!",The story of a man who lived a life of mystery and terror.
The Lodger,Everyone is Suspect,It's not what you think.
Miracle on 34th Street,"If you really believe, anything can happen.",You can't believe in anything until you believe in yourself.
Ted 2,"Ted is Coming, Again.",You can't be a person if you don't have a heart.
Feast of Love,A story for anyone with an appetite for love.,Love is the most powerful force in the universe.
Skinwalker Ranch,There is a place The Unexplained calls home,The truth is stranger than fiction.
Sunnyside,Charlie Chaplin In His Third Million Dollar Comedy,A true story.
Inspector Gadget 2,Inspect the unexpected.,Gadget is back!
Virginia,The simple life... is rarely simple.,It's time to get out of the ice.
The Naked Gun 2½: The Smell of Fear,If you see only one movie this year...you ought to get out more often,A cop with a gun.
Yu-Gi-Oh! The Movie,Everything else was just practice!,The ultimate battle of the ages!
The Ring,"Before you die, you see",It's not just a legend.
Barton Fink,There's only one thing stranger than what's going on inside his head. What's going on outside.,It's not a movie.
The Pace That Kills,Crime! Suicide! Prostitution!,It's not just a drug.
The Prince,Mercy is for the Weak,Sometimes the only way to find your daughter is to find yourself.
Demon Seed,"Julie Christie carries the ""Demon Seed."" Fear for her",The future is here.
Something Borrowed,It's a thin line between love and friendship.,"When you're single, it's hard to find someone you love."
Broadway Rhythm,M-G-M's Terrific Technicolor Topper!,"A comedy about love, fame, and money."
Zathura: A Space Adventure,Adventure Is Waiting,It's not just a game.
Doppelganger,What if your worst nightmare… turned out to be you?,It's not just a body.
No Mercy,"When passion and hatred know no limits, expect no mercy.",He's a cop.
Being Flynn,We're All Works In Progress,Sometimes the best thing you can do for someone else is to do it for yourself.
The Big Bounce,It's all in who you trust,It's not a game.
The Ladies Man,He's cool. He's clean. He's a love machine.,"A comedy about life, love, and money."
Cam2Cam,"While you are watching them, they are watching you.",It's not just a serial killer.
The Lost City of Z,"In 1925, Percy Fawcett ventured into the Amazon in search of a myth. What he discovered became legendary.",The adventure of a lifetime.
Spawn: The Recall,Ye who enter abandon all hope,You can't escape evil.
8th Wonderland,How to fight a country that doesn't exist?,They're not terrorists.
Man Facing Southeast,Somewhere Between The Insane And The Unreal Lies The Mystery Of The Man Facing Southeast.,It's not what you think it is.
Prey for Rock & Roll,For these girls... it's all about survival.,Rock 'n Roll is Back
The Bye Bye Man,Don't think it. Don't say it.,It's not what you think it is.
The Devil and Max Devlin,A new high in being lowdown.,What if you could live forever?
The Monster that Challenged the World,A new kind of terror to numb the nerves!,They're back!
Angel,A dreary city tenement provides backdrop to this tale of exclusion and the magic it takes to become accepted,The story of a girl who rose to the top of the literary world.
Creature from the Haunted Sea,"This Gangster's ""Single Partner"" Isn't Even Human!",It's not a legend.
The Big Town,"Lady luck is always on his side. Tonight, she's on fire.","He's a gambler, but he's also a man of many talents."
Dr. Jekyll and Mr. Hyde,Put yourself in her place! The dreaded night when her lover became a madman!,One man can change the face of the earth.
The Wood,From best friends to best men.,Growing up together.
The Masque of the Red Death,Horror has a face.,He's the King of Darkness!
Viva Zapata!,A BANDIT WHO BECAME A LEGEND! Roaring Story of Mexico's Tiger on a White Horse!,The Story of a Revolution That Changed History
The Cat and the Canary,"For God's sake, stay in your rooms and lock the doors!",It's not just a movie.
Universal Soldier,The future has a bad attitude.,The future is here.
Schoolgirl Report Part 5: What All Parents Should Know,"Young, Willing and Oh So Eager to Please!",How far would you go to get what you want?
Cadence,Sometimes you've got to stand out to fit in.,He's the only one who can stop it.
Problem Child,Attila the Hun. Ivan the Terrible. Al Capone. They were all seven once.,A comedy about family.
The Three Fantastic Supermen,Move over King Kong... 007... Bionic Man...,The world's most dangerous criminal is back in action!
The Theory of Everything,His Mind Changed Our World. Her Love Changed His.,One of the greatest minds of our time.
One Million B.C.,So amazing you won't believe your eyes!,The story of one man's quest to save the world.
Vampires: The Turning,From the one ... Came the many.,The Ultimate Fighting Championship
Submarino,"Two brothers meet at their mother's funeral, each in his way on a path of self-destruction, both haunted by a tragedy in their youth.",The story of two brothers.
Murder Without Motive: The Edmund Perry Story,He climbed from New York's worst ghetto to the nation's top schools. He was living the American dream. So what went wrong?,The story of a man who made a movie out of nothing.
Leila,The tragedy of a love torn apart by each partner's overeagerness to please the other.,The story of one man's struggle to fight against the old.
Fighting,Some Dreams Are Worth The Fight,It's not a game.
The Karate Kid,A Challenge He Never Imagined. A Teacher He Never Expected.,Kung Fu is a martial art
Normal Adolescent Behavior,no secrets. no inhibitions. no apologies.,Sometimes you just have to be yourself.
Boats,Get Ready to Set Sail!,The story of the Boats
Bluebeard,The most sinister love story ever told!,No one can stop a crime wave.
A House In The Hills,"She's up for a role, He's out for revenge, They're in for each other.",It's not a game.
Sometimes They Come Back... Again,True evil never dies.,He's back.
Zebra Lounge,Their first meeting was daring. Their last would be deadly.,It's not just about sex.
Six Weeks,In six weeks you can find memories to last a lifetime.,A comedy about life and death.
Jack the Giant Slayer,Prepare for a giant adventure,The legend is real.
Emergo,The First Real Ghost Story.,They're not alone.
Black Demons,"They will tear, rip, and bite anyone in their path of vengeance.",It's not just a zombie apocalypse.
The Red Ball Express,FROM BEACHHEAD TO BATTLEFRONT! THEY CARRY THE AMMO FOR PATTON'S TANKS!,The battle for France is over.
Pitch Perfect,Get pitch slapped.,It's all about the music.
The Son of No One,Serve. Protect. Lie.,Sometimes you have to fight for your life.
Butterfly,Stop and taste the world.,The Story of Moncho
Monsters vs Aliens,"When aliens attack, monsters fight back.",She's the most terrifying monster of all!
Friend Request,Be careful who you click with.,It's not what you think.
Dark Water,"This Season, The Mystery Of The Darkness Will Consume Your Life",The
Voice from the Stone,Silence is calling,The story of a boy who fell silent
Destiny Turns on the Radio,Fate visits in ways you never expect,It's not destiny.
A Wedding,More than one Family Secret hides behind A Wedding,The wedding of a lifetime.
The Neon Demon,Beauty is vicious.,It's not what you think.
Sting of the Black Scorpion,FEEL HER STING,The only thing more dangerous than a machine gun is a vision machine gun.
The Devil's Tomb,An evil entombed for 2000 years... until now.,Evil is everywhere.
33 Postcards,Wishing you were here,"A story of love, friendship and adventure."
I Like It Like That,"For Lisette, everyday has become independence day.","A comedy about love, family, and the law."
The Suicide Theory,Do you believe in fate?,The story of Steven Ray.
National Lampoon Presents: Endless Bummer,Summer Unleashed,It's the summer of the surf.
Brides of Blood,A Brutal Orgy of Ghastly Terror!,It's Alive!
The Count of Monte Cristo,Romance Lives On ... In The Glory Of Dumas' Immortal Novel !,Revenge is the only way out.
Vintage Tomorrows,The Steampunk Revolution has arrived,What Can We Learn From Steampunk's Nerdy Visionaries?
Inside Daisy Clover,A star at 15. A has-been at 17. Who says?,The story of a girl who made it big in Hollywood.
Mein Kampf,The never before shown truth of Hitler's Reich!,The true story of the Nazi regime.
The Sergeant,Just one weakness.... Just one.,The story of one man's struggle to overcome his attraction to another man.
Innocent Lies,The truth is deadly,The story of a detective who finds himself in the middle of a murder investigation.
Dough,It's not just the bread that's getting baked.,It's not just a bakery.
A Summer Place,The Inn... The Guests... The Sensations...,A love story that will change your life forever.
You Are Umasou,You Look Delicious!,The story of a man and a dinosaur.
Extreme Ops,Fear is a trigger,
Mad Max 2: The Road Warrior,"When all that's left is one last chance, pray that he's still out there ... somewhere!",He's the only one who knows how to drive.
Small Town Girl,THE NEW HIPPITY-HOP MUSICAL!,The story of a man who defied the law and became a man of the people.
The Manchurian Candidate,"When you've seen it all, you'll swear there's never been anything like it!",An American Soldier is Brainwashed Into Being A Killer For The Communist Russians During The Korean War.
Orbiter 9,Love will set you free,It's not what you believe it to be.
Gotcha!,His first time may be his last.,It's not just a trip.
Waydowntown,Welcome to life at the bottom of the food chain.,It's not just a bet.
Raw,What are you hungry for?,She's not just a vet.
The Eagle,The destiny of a soldier. The honour of a slave. The fate of an empire.,The story of a man who risked everything to save the world.
